family_id	stage	rule_stem	current_producer_entrypoints	current_mutator_entrypoints	premise_kinds	symbol_capability	alpha_obligation	compatibility	target_module	schema_owner	canonical_seams	migration_leaf
evidence.declaration	evidence_ir	evidence.declaration	crates/specforge/src/ir/evidence.rs#synthesize_signal_declaration_seed;crates/specforge/src/ir/evidence.rs#build_signal_channel_memberships;crates/specforge/src/ir/evidence.rs#signal_presence_surface	crates/specforge/src/commands/nlp_enrich.rs#run	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.signal_semantics	evidence_ir	evidence.signal_semantics	crates/specforge/src/ir/evidence.rs#synthesize_signal_semantic_hints;crates/specforge/src/ir/evidence.rs#converge_evidence_extractions	crates/specforge/src/ir/evidence.rs#EvidenceIr::refresh_signal_semantic_hints;crates/specforge/src/commands/nlp_enrich.rs#run	registered_derivation,source_span,grounded_model_proposal,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.actor_graph	evidence_ir	evidence.actor_graph	crates/specforge/src/ir/evidence.rs#actor_signal_relation_surface	crates/specforge/src/commands/signal_resolve.rs#run	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.protocol_structure	evidence_ir	evidence.protocol_structure	crates/specforge/src/ir/evidence.rs#serial_frame_field_surface;crates/specforge/src/ir/evidence.rs#protocol_state_surface;crates/specforge/src/ir/evidence.rs#protocol_operation_surface;crates/specforge/src/ir/evidence.rs#interface_edge_timing_surface;crates/specforge/src/ir/evidence.rs#ProtocolActorExtractor::run	-	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.message_structure	evidence_ir	evidence.message_structure	crates/specforge/src/ir/evidence.rs#message_field_surface	crates/specforge/src/commands/extract_constraints_llm.rs#promote_constraints	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.quality	evidence_ir	evidence.quality	crates/specforge/src/ir/evidence.rs#EvidenceIr::build_with_prior_memory	crates/specforge/src/ir/evidence.rs#EvidenceIr::dedup_loopback_records;crates/specforge/src/commands/nlp_enrich.rs#run;crates/specforge/src/commands/signal_resolve.rs#run;crates/specforge/src/commands/extract_constraints_llm.rs#promote_constraints;crates/specforge/src/commands/nli_verify.rs#measure_and_persist_gauge;crates/specforge/src/commands/validate.rs#persist_evidence_validation	registered_derivation,source_span,grounded_model_proposal,validated_prior	exact_identity_only	identity_graph_invariant	current_only	crate::ir::derivation	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk;crates/specforge/src/commands/validate.rs#write_backannotated_artifact	6d.ii.e.iv.iii
semantic.envelope	semantic_ir	semantic.envelope	crates/specforge/src/ir/semantic.rs#SemanticIr::build	-	registered_derivation,upstream_claim,validated_prior	exact_identity_only	identity_graph_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.actor_graph	semantic_ir	semantic.actor_graph	crates/specforge/src/ir/semantic.rs#build_actors;crates/specforge/src/ir/semantic.rs#build_actor_ports;crates/specforge/src/ir/semantic.rs#build_signal_connectivity;crates/specforge/src/ir/semantic.rs#build_signal_connectivity_conflicts	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.interface_system	semantic_ir	semantic.interface_system	crates/specforge/src/ir/semantic.rs#build_system_contract;crates/specforge/src/ir/semantic.rs#build_interfaces;crates/specforge/src/ir/semantic.rs#build_infrastructure_signals	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.signal_arbitration	semantic_ir	semantic.signal_arbitration	crates/specforge/src/ir/semantic.rs#build_interface_signal_conflict_observations;crates/specforge/src/ir/semantic.rs#build_temporal_conflicts	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.statement_lift	semantic_ir	semantic.statement_lift	crates/specforge/src/ir/semantic.rs#build_invariants;crates/specforge/src/ir/semantic.rs#build_contracts;crates/specforge/src/ir/semantic.rs#build_assertions;crates/specforge/src/ir/semantic.rs#build_abstractions;crates/specforge/src/ir/semantic.rs#build_decomposition_candidates	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.state_control	semantic_ir	semantic.state_control	crates/specforge/src/ir/semantic.rs#build_regular_states;crates/specforge/src/ir/semantic.rs#build_state_transitions;crates/specforge/src/ir/semantic.rs#build_symbol_definitions;crates/specforge/src/ir/semantic.rs#build_control_blocks;crates/specforge/src/ir/semantic.rs#build_explicit_modules;crates/specforge/src/ir/semantic.rs#build_explicit_tops;crates/specforge/src/ir/semantic.rs#extract_records_from_vlm_observations	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.transactions	semantic_ir	semantic.transactions	crates/specforge/src/ir/semantic.rs#build_transaction_anchors;crates/specforge/src/ir/semantic.rs#build_transaction_phases	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.carried_evidence	semantic_ir	semantic.carried_evidence	crates/specforge/src/ir/semantic.rs#SemanticIr::build	-	registered_derivation,upstream_claim,validated_prior	lossless_carry	lossless_topology_invariant	lossless_carry	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.evidence_projection	semantic_ir	semantic.evidence_projection	crates/specforge/src/ir/semantic.rs#extract_records_from_vlm_observations	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.temporal_contract	semantic_ir	semantic.temporal_contract	crates/specforge/src/ir/semantic.rs#build_temporal_rules;crates/specforge/src/ir/semantic.rs#mine_verified_figure_contracts;crates/specforge/src/ir/fusion.rs#apply_fusion;crates/specforge/src/ir/semantic.rs#apply_fidelity_gates;crates/specforge/src/ir/semantic.rs#build_temporal_conflicts	-	registered_derivation,upstream_claim,validated_prior	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.residual	semantic_ir	semantic.residual	crates/specforge/src/ir/semantic.rs#build_residual_decisions;crates/specforge/src/ir/semantic.rs#ungrounded_promotion_residual_packet	-	registered_derivation,upstream_claim,validated_prior	residual	residual_topology_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	6d.ii.e.iv.iv
semantic.validation	semantic_ir	semantic.validation	crates/specforge/src/commands/validate.rs#validate_semantic_ir	crates/specforge/src/commands/validate.rs#persist_semantic_validation	registered_derivation,upstream_claim,validated_prior	exact_identity_only	identity_graph_invariant	current_only	crate::ir::semantic	crates/specforge/src/ir/semantic.rs	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk;crates/specforge/src/commands/validate.rs#write_backannotated_artifact	6d.ii.e.iv.iv
intent.envelope	intent_ir	intent.envelope	crates/specforge/src/ir/intent.rs#IntentIr::build;crates/specforge/src/ir/intent.rs#build_intent_identity	-	registered_derivation,upstream_claim	exact_identity_only	identity_graph_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::load_from_path;crates/specforge/src/ir/intent.rs#IntentIr::load_with_verified_proof;crates/specforge/src/ir/intent.rs#IntentIr::to_pretty_json;crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.actor_projection	intent_ir	intent.actor_projection	crates/specforge/src/ir/intent.rs#build_intent_actors	-	registered_derivation,upstream_claim	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.carried_actor_graph	intent_ir	intent.carried_actor_graph	crates/specforge/src/ir/intent.rs#IntentIr::build	-	registered_derivation,upstream_claim	lossless_carry	lossless_topology_invariant	lossless_carry	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.carried_semantics	intent_ir	intent.carried_semantics	crates/specforge/src/ir/intent.rs#IntentIr::build	-	registered_derivation,upstream_claim	lossless_carry	lossless_topology_invariant	lossless_carry	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.contract_projection	intent_ir	intent.contract_projection	crates/specforge/src/ir/intent.rs#IntentIr::build	crates/specforge/src/ir/nli_verify.rs#apply_nli_gate	registered_derivation,upstream_claim	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.product_summary	intent_ir	intent.product_summary	crates/specforge/src/ir/intent.rs#build_behaviors;crates/specforge/src/ir/intent.rs#build_constraints;crates/specforge/src/ir/intent.rs#build_assumptions	-	registered_derivation,upstream_claim	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.behavioral_relations	intent_ir	intent.behavioral_relations	crates/specforge/src/ir/intent.rs#synthesize_transactions;crates/specforge/src/ir/intent.rs#recognize_named_transactions;crates/specforge/src/ir/intent.rs#synthesize_actor_drive_relations;crates/specforge/src/ir/intent.rs#synthesize_actor_sample_relations;crates/specforge/src/ir/intent.rs#synthesize_actor_trigger_relations;crates/specforge/src/ir/intent.rs#synthesize_actor_temporal_dependencies;crates/specforge/src/ir/intent.rs#synthesize_temporal_invariants	-	registered_derivation,upstream_claim	merge_or_conflict	merge_conflict_topology_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.residual	intent_ir	intent.residual	crates/specforge/src/ir/intent.rs#build_residual_decisions	crates/specforge/src/ir/nli_verify.rs#apply_nli_gate	registered_derivation,upstream_claim	residual	residual_topology_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	6d.ii.e.iv.v
intent.validation	intent_ir	intent.validation	crates/specforge/src/commands/validate.rs#validate_intent_ir	crates/specforge/src/commands/validate.rs#persist_intent_validation	registered_derivation,upstream_claim	exact_identity_only	identity_graph_invariant	current_only	crate::ir::intent	crates/specforge/src/ir/intent.rs	crates/specforge/src/ir/intent.rs#IntentIr::to_pretty_json;crates/specforge/src/commands/validate.rs#write_backannotated_artifact	6d.ii.e.iv.v
adapter.envelope	isf_adapter	adapter.envelope	crates/specforge/src/ir/adapters.rs#AdapterArtifact::build	-	registered_derivation,upstream_claim	exact_identity_only	identity_graph_invariant	current_only	crate::ir::adapters	crates/specforge/src/ir/adapters.rs	crates/specforge/src/ir/adapters.rs#AdapterArtifact::load_from_path;crates/specforge/src/ir/adapters.rs#AdapterArtifact::load_with_verified_proof;crates/specforge/src/ir/adapters.rs#AdapterArtifact::to_pretty_json;crates/specforge/src/ir/adapters.rs#AdapterArtifact::write_to_disk	6d.ii.e.iv.vi
adapter.lowering	isf_adapter	adapter.lowering	crates/specforge/src/ir/adapters.rs#build_isf_adapter_artifact;crates/specforge/src/ir/isf_ir.rs#IsfIr::from_intent_ir;crates/specforge/src/ir/isf_ir.rs#IsfIr::render;crates/specforge/src/ir/adapters.rs#assess_isf_renderability	-	registered_derivation,upstream_claim	target_lowering	target_safe_renaming	current_only	crate::ir::adapters	crates/specforge/src/ir/adapters.rs	crates/specforge/src/ir/adapters.rs#AdapterArtifact::to_pretty_json;crates/specforge/src/ir/adapters.rs#AdapterArtifact::write_to_disk	6d.ii.e.iv.vi
adapter.residual	isf_adapter	adapter.residual	crates/specforge/src/ir/adapters.rs#protocol_residual_decisions;crates/specforge/src/ir/adapters.rs#build_isf_adapter_artifact	-	registered_derivation,upstream_claim	residual	residual_topology_invariant	current_only	crate::ir::adapters	crates/specforge/src/ir/adapters.rs	crates/specforge/src/ir/adapters.rs#AdapterArtifact::to_pretty_json;crates/specforge/src/ir/adapters.rs#AdapterArtifact::write_to_disk	6d.ii.e.iv.vi
adapter.validation	isf_adapter	adapter.validation	crates/specforge/src/commands/validate.rs#validate_isf_adapter	crates/specforge/src/commands/validate.rs#persist_isf_adapter_validation	registered_derivation,upstream_claim	exact_identity_only	identity_graph_invariant	current_only	crate::ir::adapters	crates/specforge/src/ir/adapters.rs	crates/specforge/src/ir/adapters.rs#AdapterArtifact::to_pretty_json;crates/specforge/src/commands/validate.rs#write_backannotated_artifact	6d.ii.e.iv.vi
