boundary_id	role	data_class	path	contract
join.grammar_roots	derived_join	raw_evidence	doctrine/production_genericity/rule_family_inventory.tsv#grammar_introduces	registered_grammar_declassifiers
join.canonical_seams	derived_join	canonical_authority	doctrine/production_genericity/rule_family_inventory.tsv#canonical_seams	proof_only_sinks
grammar.ambiguity_findings	grammar_root	raw_evidence	crates/specforge/src/ir/ambiguity.rs#weak_phrase_findings	evaluation_only
grammar.source_visual_mutation	grammar_root	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::apply_visual_observation	grounded_proposal_only
grammar.evidence_build	grammar_root	raw_evidence	crates/specforge/src/ir/evidence.rs#EvidenceIr::build_with_prior_memory	proof_gated_aggregation
grammar.evidence_alias_mutation	grammar_root	raw_evidence	crates/specforge/src/ir/evidence.rs#EvidenceIr::apply_alias_reclassification	grounded_proposal_only
grammar.source_table_classification	grammar_root	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::apply_table_classification	grounded_proposal_only
grammar.source_table_repair	grammar_root	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::apply_table_grid_repair	grounded_proposal_only
grammar.semantic_build	grammar_root	raw_evidence	crates/specforge/src/ir/semantic.rs#SemanticIr::build	proof_gated_aggregation
grammar.entity_classification	grammar_root	grounded_proposal	crates/specforge/src/ir/entity_typing.rs#classify_entity	proposal_only
grammar.entity_evidence	grammar_root	raw_evidence	crates/specforge/src/ir/entity_typing.rs#gather_entity_evidence	proposal_only
grammar.entity_provider	grammar_root	grounded_proposal	crates/specforge/src/ir/entity_typing.rs#propose_entity_type_llm	proposal_only
grammar.nlp_relations	grammar_root	grounded_proposal	crates/specforge/src/ir/nlp_relation_extract.rs#nlp_extract_relations	proposal_only
grammar.constraint_grounding	grammar_root	grounded_proposal	crates/specforge/src/ir/constraint_extract_llm.rs#ground_constraint	proposal_only
grammar.filter_grounded_obligation	grammar_root	raw_evidence	crates/specforge/src/ir/extraction_filters.rs#is_grounded_obligation_with	universal_filter
grammar.filter_normative_subject	grammar_root	raw_evidence	crates/specforge/src/ir/extraction_filters.rs#is_normative_for_subject	universal_filter
grammar.filter_normative_source	grammar_root	raw_evidence	crates/specforge/src/ir/extraction_filters.rs#is_normative_source	universal_filter
grammar.filter_actor	grammar_root	raw_evidence	crates/specforge/src/ir/extraction_filters.rs#is_valid_actor	universal_filter
grammar.filter_actor_with	grammar_root	raw_evidence	crates/specforge/src/ir/extraction_filters.rs#is_valid_actor_with	universal_filter
grammar.prior_table_shape	grammar_root	raw_evidence	crates/specforge/src/commands/learn_priors.rs#infer_table_shape_prior_confidence	validated_prior_output
grammar.prior_learning	grammar_root	grounded_proposal	crates/specforge/src/commands/learn_priors.rs#run	validated_prior_output
grammar.prior_profile_lookup	grammar_root	grounded_proposal	crates/specforge/src/ir/prior_memory.rs#CorpusMemory::extraction_profile_priors_for	validated_structural_prior
grammar.corpus_clustering	grammar_root	raw_evidence	crates/specforge/src/commands/corpus_cluster.rs#run	validated_prior_input
grammar.convergence	grammar_root	raw_evidence	crates/specforge/src/commands/converge.rs#run	proof_gated_orchestration
grammar.legacy_source_demotion	grammar_root	raw_evidence	crates/specforge/src/ir/source.rs#neutralize_legacy_source_classifications	demotion_only
lifecycle.clean	non_authoritative_root	document_identity	crates/specforge/src/commands/clean.rs#run	lifecycle_only
diagnostic.doctor	non_authoritative_root	raw_evidence	crates/specforge/src/commands/doctor.rs#run	diagnostics_only
diagnostic.doctor_truncate	non_authoritative_root	raw_evidence	crates/specforge/src/commands/doctor.rs#truncate_for_display	diagnostics_only
diagnostic.entity_type	non_authoritative_root	raw_evidence	crates/specforge/src/commands/entity_type.rs#run	diagnostics_only
diagnostic.clarification_planner	non_authoritative_root	raw_evidence	crates/specforge/src/ir/clarification.rs#plan_clarifications	diagnostics_only
diagnostic.nlp_truncate	non_authoritative_root	raw_evidence	crates/specforge/src/commands/nlp_enrich.rs#truncate_for_display	diagnostics_only
declassify.opaque_exact	declassifier	symbol_identity	crates/specforge/src/ir/derivation.rs#OpaqueSymbol::eq	exact_identity_only
declassify.document_exact	declassifier	document_identity	crates/specforge/src/ir/derivation.rs#OpaqueDocumentIdentity::eq	exact_identity_only
declassify.persist_symbol	declassifier	symbol_identity	crates/specforge/src/ir/derivation.rs#PersistenceCapability::persist_symbol	transparent_persistence
declassify.restore_symbol	declassifier	symbol_identity	crates/specforge/src/ir/derivation.rs#PersistenceCapability::restore_symbol	transparent_persistence
declassify.persist_document	declassifier	document_identity	crates/specforge/src/ir/derivation.rs#PersistenceCapability::persist_document	transparent_persistence
declassify.restore_document	declassifier	document_identity	crates/specforge/src/ir/derivation.rs#PersistenceCapability::restore_document	transparent_persistence
declassify.present_symbol	declassifier	symbol_identity	crates/specforge/src/ir/derivation.rs#PresentationCapability::symbol	presentation_only
declassify.present_document	declassifier	document_identity	crates/specforge/src/ir/derivation.rs#PresentationCapability::document	presentation_only
declassify.lower_symbol	declassifier	symbol_identity	crates/specforge/src/ir/derivation.rs#LoweringCapability::encode_symbol	target_lowering
declassify.contract_finding_id	declassifier	symbol_identity	crates/specforge/src/ir/cve.rs#count_fail_findings_for	exact_identity_only
declassify.protocol_channel_id	declassifier	symbol_identity	crates/specforge/src/ir/protocol_graph.rs#ProtocolGraph::channel	exact_identity_only
declassify.protocol_phase_id	declassifier	symbol_identity	crates/specforge/src/ir/protocol_graph.rs#ProtocolGraph::phase	exact_identity_only
authority.source	proof_gate	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::verified_canonical_proof	verified_authority:source_ir
authority.source_load	proof_gate	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::load_with_verified_proof	verified_authority:source_ir
authority.source_public_load	proof_gate	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::load_from_path	verified_artifact:source_ir
authority.source_build	proof_gate	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::build	verified_artifact:source_ir
authority.source_write	proof_gate	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::write_to_disk	verified_artifact:source_ir
authority.source_json	proof_value_return	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::to_pretty_json	verified_serialization:source_ir
authority.evidence	proof_gate	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::verified_canonical_proof	verified_authority:evidence_ir
authority.evidence_load	proof_gate	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::load_with_verified_proof	verified_authority:evidence_ir
authority.evidence_public_load	proof_gate	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::load_from_path	verified_artifact:evidence_ir
authority.evidence_build	proof_gate	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::build_with_prior_memory	verified_artifact:evidence_ir
authority.evidence_write	proof_gate	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	verified_artifact:evidence_ir
authority.evidence_json	proof_value_return	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::to_pretty_json	verified_serialization:evidence_ir
authority.semantic	proof_gate	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::verified_canonical_proof	verified_authority:semantic_ir
authority.semantic_load	proof_gate	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::load_with_verified_proof	verified_authority:semantic_ir
authority.semantic_public_load	proof_gate	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::load_from_path	verified_artifact:semantic_ir
authority.semantic_build	proof_gate	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::build	verified_artifact:semantic_ir
authority.semantic_write	proof_gate	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::write_to_disk	verified_artifact:semantic_ir
authority.semantic_json	proof_value_return	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::to_pretty_json	verified_serialization:semantic_ir
authority.intent	proof_gate	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::verified_canonical_proof	verified_authority:intent_ir
authority.intent_load	proof_gate	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::load_with_verified_proof	verified_authority:intent_ir
authority.intent_public_load	proof_gate	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::load_from_path	verified_artifact:intent_ir
authority.intent_build	proof_gate	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::build	verified_artifact:intent_ir
authority.intent_write	proof_gate	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::write_to_disk	verified_artifact:intent_ir
authority.intent_json	proof_value_return	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::to_pretty_json	verified_serialization:intent_ir
authority.adapter	proof_gate	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::verified_canonical_proof	verified_authority:isf_adapter
authority.adapter_load	proof_gate	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::load_with_verified_proof	verified_authority:isf_adapter
authority.adapter_public_load	proof_gate	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::load_from_path	verified_artifact:isf_adapter
authority.adapter_build	proof_gate	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::build	verified_artifact:isf_adapter
authority.adapter_write	proof_gate	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::write_to_disk	verified_artifact:isf_adapter
authority.adapter_json	proof_value_return	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::to_pretty_json	verified_serialization:isf_adapter
authority.validation_write	proof_value_sink	proof_authority	crates/specforge/src/commands/validate.rs#write_backannotated_artifact	verified_argument:1
trusted.kernel	trusted_region	proof_authority	crates/specforge/src/ir/derivation.rs#module	kernel_implementation
trusted.source_proof	trusted_region	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::refresh_proof_from_context	proof_construction
trusted.source_validation	trusted_region	proof_authority	crates/specforge/src/ir/source.rs#SourceIr::apply_validation_report	proof_construction
trusted.evidence_proof	trusted_region	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::refresh_proof_from_context	proof_construction
trusted.evidence_mutation	trusted_region	proof_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr::authorize_mutation	proof_construction
trusted.semantic_proof	trusted_region	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::refresh_proof_from_context	proof_construction
trusted.semantic_mutation	trusted_region	proof_authority	crates/specforge/src/ir/semantic.rs#SemanticIr::authorize_mutation	proof_construction
trusted.intent_proof	trusted_region	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::refresh_proof_from_context	proof_construction
trusted.intent_mutation	trusted_region	proof_authority	crates/specforge/src/ir/intent.rs#IntentIr::authorize_mutation	proof_construction
trusted.adapter_proof	trusted_region	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::refresh_proof_from_context	proof_construction
trusted.adapter_mutation	trusted_region	proof_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact::authorize_mutation	proof_construction
protected.opaque_symbol	protected_type	symbol_identity	crates/specforge/src/ir/derivation.rs#OpaqueSymbol	kernel_only_construct
protected.opaque_document	protected_type	document_identity	crates/specforge/src/ir/derivation.rs#OpaqueDocumentIdentity	kernel_only_construct
protected.grammar_capability	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#GrammarCapability	kernel_only_construct
protected.persistence_capability	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#PersistenceCapability	kernel_only_construct
protected.presentation_capability	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#PresentationCapability	kernel_only_construct
protected.lowering_capability	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#LoweringCapability	kernel_only_construct
protected.grounded_proposal	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#GroundedProposal	kernel_only_construct
protected.proved	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#Proved	kernel_only_construct
protected.verified_ledger	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#VerifiedProofLedger	kernel_only_construct
protected.promotion_kernel	protected_type	proof_authority	crates/specforge/src/ir/derivation.rs#PromotionKernel	kernel_only_construct
protected.source_ir	protected_type	canonical_authority	crates/specforge/src/ir/source.rs#SourceIr	registered_rule_construct
protected.evidence_ir	protected_type	canonical_authority	crates/specforge/src/ir/evidence.rs#EvidenceIr	registered_rule_construct
protected.semantic_ir	protected_type	canonical_authority	crates/specforge/src/ir/semantic.rs#SemanticIr	registered_rule_construct
protected.intent_ir	protected_type	canonical_authority	crates/specforge/src/ir/intent.rs#IntentIr	registered_rule_construct
protected.adapter	protected_type	canonical_authority	crates/specforge/src/ir/adapters.rs#AdapterArtifact	registered_rule_construct
